,0
492,Indie
19,Action
21,Adventure
597,Casual
122,RPG
599,Simulation
9,Strategy
4182,Singleplayer
493,Early Access
113,Free to Play
3871,2D
4191,3D
4166,Atmospheric
1684,Fantasy
1742,Story Rich
4305,Colorful
3859,Multiplayer
1664,Puzzle
3964,Pixel Graphics
128,Massively Multiplayer
3834,Exploration
701,Sports
4726,Cute
4667,Violent
3839,First-Person
3993,Combat
699,Racing
4085,Anime
12095,Sexual Content
6650,Nudity
1773,Arcade
4106,Action-Adventure
4136,Funny
3942,Sci-fi
1774,Shooter
1654,Relaxing
4345,Gore
1667,Horror
4004,Retro
5350,Family Friendly
1697,Third Person
7208,Female Protagonist
7481,Controller
4252,Stylized
1695,Open World
1625,Platformer
1685,Co-op
1662,Survival
1775,PvP
4791,Top-Down
6426,Choices Matter
4175,Realistic
1719,Comedy
6730,PvE
3799,Visual Novel
4342,Dark
4747,Character Customization
3968,Physics
4195,Cartoony
5716,Mystery
7250,Linear
1663,FPS
3916,Old School
5379,2D Platformer
6971,Multiple Endings
3843,Online Co-Op
4026,Difficult
21978,VR
1721,Psychological Horror
4057,Magic
1756,Great Soundtrack
4172,Medieval
3810,Sandbox
1708,Tactical
4231,Action RPG
4295,Futuristic
4094,Minimalist
1755,Space
1643,Building
6815,Hand-drawn
1698,Point & Click
1702,Crafting
12472,Management
4255,Shoot 'Em Up
1716,Roguelike
5984,Drama
4562,Cartoon
7368,Local Multiplayer
84,Design & Illustration
3798,Side Scroller
3959,Roguelite
8945,Resource Management
5125,Procedural Generation
4604,Dark Fantasy
6129,Logic
5611,Mature
5395,3D Platformer
3978,Survival Horror
4486,Choose Your Own Adventure
1036,Education
5537,Puzzle Platformer
4947,Romance
4325,Turn-Based Combat
7743,1980s
5608,Emotional
87,Utilities
1646,Hack and Slash
1741,Turn-Based Strategy
9204,Immersive Sim
1678,War
11014,Interactive Fiction
14139,Turn-Based Tactics
17389,Tabletop
9130,Hentai
30358,Nature
3835,Post-apocalyptic
1659,Zombies
7332,Base Building
9551,Dating Sim
1738,Hidden Object
42804,Action Roguelike
1710,Surreal
4434,JRPG
6691,1990's
3841,Local Co-Op
4885,Bullet Hell
1720,Dungeon Crawler
3987,Historical
10695,Party-Based RPG
1687,Stealth
4711,Replay Value
5094,Narration
5900,Walking Simulator
5154,Score Attack
1677,Turn-Based
4168,Military
24904,NSFW
4145,Cinematic
3814,Third-Person Shooter
31275,Text-Based
15172,Conversation
4637,Top-Down Shooter
44868,LGBTQ+
4975,2.5D
1673,Aliens
4115,Cyberpunk
1038,Web Publishing
10397,Memes
5851,Isometric
8369,Investigation
5752,Robots
5711,Team-Based
5923,Dark Humor
6869,Nonlinear
1666,Card Game
6276,Inventory Management
1676,RTS
3854,Lore-Rich
7926,Artificial Intelligence
10235,Life Sim
12057,Tutorial
9541,Demons
17305,Strategy RPG
379975,Clicker
4400,Abstract
5186,Psychological
4064,Thriller
1759,Perma Death
5547,Arena Shooter
4695,Economy
3813,Real Time Tactics
1734,Fast-Paced
5613,Detective
10808,Supernatural
1644,Driving
1770,Board Game
4234,Short
5673,Modern
872,Animation & Modeling
5030,Dystopian 
3877,Precision Platformer
16689,Time Management
8013,Software
4840,4 Player Local
1714,Psychedelic
1645,Tower Defense
4236,Loot
21725,Tactical RPG
15045,Flight
4328,City Builder
1693,Classic
29482,Souls-like
1751,Comic Book
1621,Music
4684,Wargame
4158,Beat 'em up
4598,Alternate History
1628,Metroidvania
5577,RPGMaker
7948,Soundtrack
5363,Destruction
1669,Moddable
4700,Movie
16094,Mythology
8122,Level Editor
1743,Fighting
5652,Collectathon
8666,Runner
13782,Experimental
5411,Beautiful
13906,Game Development
7569,Grid-Based Movement
6378,Crime
4036,Parkour
4736,2D Fighter
615955,Idler
4474,CRPG
32322,Deckbuilding
784,Video Production
1027,Audio Production
4155,Class-Based
3878,Competitive
1754,MMORPG
19995,Dark Comedy
15277,Philosophical
5765,Gun Customization
791774,Card Battler
4758,Twin Stick Shooter
5794,Science
4150,World War II
1100687,Automobile Sim
4508,Co-op Campaign
17894,Cats
1752,Rhythm
11104,Vehicular Combat
4608,Swordplay
16598,Space Sim
6506,3D Fighter
4364,Grand Strategy
4046,Dragons
176981,Battle Royale
7432,Lovecraftian
5055,eSports
4835,6DOF
4845,Capitalism
29363,3D Vision
13190,America
10816,Split Screen
5372,Conspiracy
6052,Noir
255534,Automation
1665,Match 3
1445,Software Training
4878,Parody 
916648,Creature Collector
5228,Blood
5796,Bullet Time
220585,Colony Sim
4202,Trading
87918,Farming Sim
3955,Character Action Game
4559,Quick-Time Events
1651,Satire
198631,Mystery Dungeon
620519,Hero Shooter
6625,Time Manipulation
9592,Dynamic Narration
353880,Looter Shooter
1100689,Open World Survival Craft
3952,Gothic
21006,Underground
22602,Agriculture
24003,Word Game
3920,Cooking
1732,Voxel
4190,Addictive
4853,Political
1777,Steampunk
4777,Spectacle fighter
6915,Martial Arts
5981,Mining
4821,Mechs
7478,Illuminati
10679,Time Travel
4102,Combat Racing
9564,Hunting
31579,Otome
1638,Dog
13070,Solitaire
1681,Pirates
1718,MOBA
13276,Tanks
17770,Asynchronous Multiplayer
5300,God Game
1688,Ninja
4018,Vampire
5502,Hacking
1084988,Auto Battler
15564,Fishing
809,Photo Editing
1717,Hex Grid
5708,Remake
9271,Trading Card Game
3934,Immersive
11123,Mouse only
18594,FMV
4754,Politics
7702,Narrative
4376,Assassin
4161,Real-Time
1723,Action RTS
4242,Episodic
1671,Superhero
9157,Underwater
1670,4X
7782,Cult Classic
5179,Cold War
180368,Faith
3965,Epic
5160,Dinosaurs
5432,Programming
1730,Sokoban
1647,Western
26921,Political Sim
1680,Heist
7178,Party Game
7108,Party
10383,Transportation
6910,Naval
6310,Diplomacy
1616,Trains
13382,Archery
8093,Minigames
51306,Foreign
16250,Gambling
9803,Snow
7107,Real-Time with Pause
4994,Naval Combat
97376,Cozy
4137,Transhumanism
1674,Typing
552282,Wholesome
13577,Sailing
769306,Escape Room
14153,Dungeons & Dragons
11333,Villain Protagonist
1091588,Roguelike Deckbuilder
5230,Sequel
7423,Sniper
5153,Kickstarter
56690,On-Rails Shooter
8253,Music-Based Procedural Generation
14720,Nostalgia
5348,Mod
454187,Traditional Roguelike
6702,Mars
17015,Werewolves
7622,Offroad
1254546,Football (Soccer)
5390,Time Attack
9994,Experience
25085,Touch-Friendly
10437,Trivia
776177,360 Video
1649,GameMaker
5382,World War I
6041,Horses
4520,Farming
12190,Boxing
5310,Games Workshop
150626,Gaming
92092,Jet
1100686,Outbreak Sim
15339,Documentary
4184,Chess
4291,Spaceships
15954,Silent Protagonist
1733,Unforgiving
198913,Motorbike
1100688,Medical Sim
7038,Golf
71389,Spelling
1736,LEGO
856791,Asymmetric VR
6948,Rome
123332,Bikes
922563,Roguevania
19780,Submarine
61357,Electronic Music
7113,Crowdfunded
1746,Basketball
29855,Ambient
1254552,Football (American)
6621,Pinball
745697,Social Deduction
189941,Instrumental Music
22955,Mini Golf
8075,TrackIR
12286,Warhammer 40K
1753,Skateboarding
47827,Wrestling
11634,Vikings
17927,Pool
337964,Rock Music
42089,Jump Scare
3796,Based On A Novel
5727,Baseball
19568,Cycling
96359,Skating
5914,Tennis
14906,Intentionally Awkward Controls
15868,Motocross
11095,Boss Rush
7328,Bowling
117648,8-bit Music
176733,Tile-Matching
17337,Lemmings
324176,Hockey
35079,Job Simulator
348922,Steam Machine
8461,Well-Written
5407,Benchmark
603297,Hardware
252854,BMX
28444,Snowboarding
7309,Skiing
129761,ATV
33572,Mahjong
143739,Electronic
27758,Voice Control
233824,Feature Film
323922,Musou
91114,Shop Keeper
6214,Birds
1199779,Extraction Shooter
30927,Fox
49213,Rugby
847164,Volleyball
42329,Coding
5941,Reboot
158638,Cricket
1220528,Hobby Sim
363767,Snooker
