,app_id,german,french,spanish,brazilian,russian,italian,schinese,japanese,koreana,polish
0,1086940,"(196,574)","(7,174)","(5,780)","(7,374)","(17,432)","(2,502)","(30,839)",(99),"(3,237)","(3,293)"
1,730,"(2,267,349)","(124,244)","(277,384)","(433,297)","(1,976,542)","(19,691)","(947,071)","(8,933)","(21,007)","(423,371)"
2,1888160,"(22,412)",(378),(391),(228),(609),(129),"(5,653)","(3,107)","(1,850)",(90)
3,1085660,"(341,920)","(10,917)","(17,154)","(17,647)","(39,239)","(3,607)","(87,572)",(875),"(13,355)","(6,208)"
4,1172470,"(365,479)","(15,472)","(23,684)","(13,900)","(85,332)","(3,208)","(102,293)","(7,259)","(14,868)","(11,794)"
5,359550,"(583,720)","(20,947)","(35,542)","(52,770)","(102,634)","(8,671)","(174,869)","(4,407)","(50,479)","(20,898)"
6,381210,"(293,992)","(13,523)","(43,861)","(40,115)","(96,028)","(5,648)","(78,541)","(5,768)","(21,322)","(21,685)"
7,1938090,"(218,537)","(7,920)","(16,403)","(17,896)","(22,467)","(2,228)","(95,825)","(1,292)","(3,913)","(9,785)"
8,990080,"(132,875)","(11,263)","(8,267)","(9,198)","(9,457)","(2,393)","(16,115)",(809),"(3,614)","(4,459)"
9,271590,"(556,377)","(22,796)","(61,545)","(101,978)","(201,970)","(5,638)","(423,550)","(3,027)","(48,165)","(38,916)"
10,440,"(603,509)","(15,504)","(51,349)","(32,236)","(114,090)","(6,424)","(15,691)","(1,691)","(13,542)","(39,725)"
11,570,"(676,445)","(7,459)","(104,692)","(49,084)","(933,621)","(3,418)","(163,882)","(1,790)","(4,732)","(8,284)"
12,1599340,"(118,800)","(12,478)","(20,421)","(15,191)",(288),"(2,162)","(1,790)",(25),(432),"(6,312)"
13,230410,"(239,150)","(11,064)","(25,343)","(23,448)","(66,798)","(3,532)","(112,396)","(1,630)","(10,527)","(8,841)"
14,1433140,"(6,399)",(234),(401),(386),(620),(39),(416),(147),(91),(82)
15,236390,"(187,497)","(7,861)","(10,916)","(9,318)","(74,425)","(2,639)","(45,431)",(349),"(7,383)","(12,653)"
16,1091500,"(282,446)","(10,621)","(11,775)","(17,591)","(60,357)","(2,917)","(165,788)","(1,985)","(16,713)","(17,244)"
17,252490,"(523,415)","(19,395)","(41,922)","(20,908)","(215,484)","(3,941)","(21,793)","(1,996)","(8,408)","(13,929)"
18,1282100,"(19,744)",(685),(450),(345),"(1,180)",(144),"(4,039)",(169),(811),(140)
19,1244090,"(1,188)",(71),(101),(145),(56),(9),(427),(37),(47),(7)
20,39210,"(55,388)","(1,785)","(1,393)","(3,924)","(1,911)",(267),(526),(251),(17),(319)
21,1997040,"(10,022)",(624),"(1,301)","(1,871)",(270),(564),(125),(71),(912),(228)
22,306130,"(79,477)","(4,161)","(5,304)","(7,693)","(21,128)",(717),"(7,279)",(77),(991),"(2,446)"
23,582660,"(46,335)","(2,964)","(5,159)","(1,312)","(3,744)",(799),"(1,266)",(80),(103),"(2,680)"
24,1817070,"(45,645)","(1,952)","(3,910)","(3,663)","(1,896)",(515),"(5,732)",(194),"(2,604)","(1,480)"
25,2080690,"(2,168)",(195),(122),(79),(361),(6),"(1,202)",(151),(127),(23)
26,739630,"(357,990)","(16,154)","(33,528)","(20,329)","(77,191)","(3,918)","(16,647)","(1,290)","(4,464)","(17,756)"
27,1222670,"(61,579)","(2,145)","(6,806)","(7,088)","(3,745)",(547),"(10,766)",(231),"(1,707)","(5,237)"
28,289070,"(127,520)","(8,359)","(5,379)","(4,736)","(10,774)","(1,477)","(93,447)",(846),"(9,355)","(4,607)"
29,238960,"(127,688)","(6,110)","(8,910)","(12,881)","(29,388)","(1,054)",(611),(593),(123),"(6,839)"
30,671860,"(61,806)","(1,078)","(2,025)","(5,107)","(4,981)",(320),"(3,212)",(566),(513),"(1,458)"
31,1245620,"(395,936)","(16,102)","(25,050)","(18,656)","(23,718)","(5,629)","(152,562)","(4,145)","(18,814)","(5,570)"
32,386360,"(65,666)","(2,620)","(10,279)","(7,367)","(11,384)",(585),"(3,353)",(87),(111),"(2,457)"
33,435150,"(86,688)","(4,187)","(3,108)","(3,982)","(17,427)","(1,055)","(39,314)",(228),"(3,349)","(1,647)"
34,397540,"(61,331)","(2,635)","(2,805)","(2,790)","(6,225)",(632),"(36,638)",(347),"(2,101)","(1,346)"
35,1142710,"(52,107)","(3,670)","(2,047)",(434),"(3,104)",(637),"(15,180)",(34),"(2,349)","(1,399)"
36,1326470,"(85,236)","(4,757)","(5,309)","(2,041)","(7,805)",(830),"(13,586)",(364),"(2,407)","(7,836)"
37,1174180,"(166,509)","(4,190)","(13,081)","(16,492)","(27,006)","(1,324)","(154,713)",(508),"(10,880)","(8,217)"
38,1364780,"(14,015)",(682),(734),"(1,143)",(161),(160),"(3,261)",(729),(616),(47)
39,1171690,"(8,593)",(476),(603),(902),(233),(159),"(2,843)",(120),(142),(228)
40,270880,"(77,257)","(4,008)","(10,313)","(8,731)","(7,568)",(586),"(4,106)",(301),"(1,136)","(4,936)"
41,1817190,"(14,671)",(711),"(1,165)","(1,320)",(791),(237),"(1,407)",(61),(622),(683)
42,281990,"(90,562)","(3,295)","(2,589)","(1,678)","(9,743)",(694),"(34,855)",(666),"(1,902)","(2,078)"
43,108600,"(104,637)","(4,671)","(31,873)","(14,811)","(27,367)","(1,093)","(15,598)",(531),"(6,645)","(3,296)"
44,1449850,"(36,764)","(1,768)","(4,196)","(4,312)",(357),"(1,434)","(2,700)","(1,786)","(6,464)",(182)
45,1144200,"(71,419)","(3,478)","(2,546)","(1,587)","(5,319)",(629),"(15,101)",(300),"(4,476)","(2,148)"
46,578080,"(428,328)","(16,560)","(38,882)","(52,320)","(238,079)","(3,484)","(1,134,252)","(5,705)","(116,371)","(16,209)"
47,275850,"(177,392)","(8,580)","(8,847)","(6,562)","(13,122)","(2,038)","(41,008)",(919),"(1,968)","(2,606)"
48,1151340,"(51,453)","(1,673)","(3,104)","(1,286)","(10,841)",(724),"(11,205)",(675),"(1,400)","(1,683)"
49,311210,"(135,831)","(6,722)","(12,504)","(4,582)","(4,028)","(1,824)","(2,666)",(419),(434),"(1,281)"
50,1203220,"(17,224)","(1,101)","(1,067)",(659),"(2,335)",(158),"(132,577)",(256),(971),(284)
51,1716740,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
52,1593500,"(56,537)","(2,542)","(5,432)","(7,270)","(4,338)",(837),"(12,497)",(112),"(2,705)","(2,520)"
